placement_id,topic,title,url,company_name,account_id,channel_type,clicks,invalid_clicks
1,Tabagism / quitting smoking,World No Tobacco Day 2026: Unmasking the appeal – countering nicotine and tobacco addiction (WHO),https://www.who.int/news/item/17-10-2025-world-no-tobacco-day-2026--unmasking-the-appeal---countering-nicotine-and-tobacco-addiction,Plush Cosmetics,1004,Display,1539,2
2,Tabagism / quitting smoking,"Quit for a week and save a day, say health experts (GOV.UK)",https://www.gov.uk/government/news/quit-for-a-week-and-save-a-day-say-health-experts,Moonbucks Coffee,1003,Shopping,4385,322
3,Tabagism / quitting smoking,Want to quit smoking in 2026? Here's all the help you need (UCL),https://www.ucl.ac.uk/news/headlines/2025/dec/want-quit-smoking-2026-heres-all-help-you-need,Jen & Berry's Ice Cream,1002,Paid Social,9447,425
4,Tabagism / quitting smoking,The end of smoking in England? The importance of considering different metrics of success (BMJ Tobacco Control PDF),https://tobaccocontrol.bmj.com/content/tobaccocontrol/early/2025/07/23/tc-2025-059469.full.pdf,Jet3 Holidays,1001,Paid Social,2409,135
5,Tabagism / quitting smoking,Signs of increased smoking and vaping among young people in UK (BMJ),https://www.bmj.com/content/392/bmj.r2625,Moonbucks Coffee,1003,Paid Social,8661,495
6,Youth vaping / nicotine,10-year study to shed light on youth vaping (GOV.UK),https://www.gov.uk/government/news/10-year-study-to-shed-light-on-youth-vaping,Moonbucks Coffee,1003,Display,5901,331
7,Youth vaping / nicotine,Use of vapes (e-cigarettes) among young people in Great Britain (ASH),https://ash.org.uk/resources/view/use-of-e-cigarettes-among-young-people-in-great-britain,Plush Cosmetics,1004,Paid Social,2682,200
8,Youth vaping / nicotine,Truth Initiative report finds rapidly evolving nicotine market outpacing regulation (press release),https://truthinitiative.org/press/press-release/truth-initiative-report-finds-rapidly-evolving-nicotine-market-outpacing,Moonbucks Coffee,1003,Shopping,1479,122
9,Youth vaping / nicotine,Epping Forest Youth Council publishes report on youth vaping,https://www.eppingforestdc.gov.uk/epping-forest-youth-council-publishes-report-on-youth-vaping/,Moonbucks Coffee,1003,Paid Social,2374,75
10,Youth vaping / nicotine,Tobacco industry report: Hooking the next generation (WHO publication page),https://www.who.int/publications/i/item/9789240094642,Jen & Berry's Ice Cream,1002,Display,6737,599
11,Tobacco marketing / industry tactics,Tobacco Industry Targeting Young People (TobaccoTactics),https://www.tobaccotactics.org/article/tobacco-industry-targeting-young-people/,Moonbucks Coffee,1003,Display,4320,143
12,Tobacco marketing / industry tactics,Marketing in the tobacco industry statistics: Market data report 2026 (WorldMetrics),https://worldmetrics.org/marketing-in-the-tobacco-industry-statistics/,Jen & Berry's Ice Cream,1002,Shopping,1109,109
13,Tobacco marketing / industry tactics,A review on tobacco industry and youth (PDF),https://yactmovement.org/wp-content/uploads/2025/09/Tobacco-industry-Youth-Desk-Research-RK-002.pdf,Plush Cosmetics,1004,PMax,1595,29
14,Tobacco marketing / industry tactics,World No Tobacco Day 2026 theme announcement (WHO),https://www.who.int/news/item/17-10-2025-world-no-tobacco-day-2026--unmasking-the-appeal---countering-nicotine-and-tobacco-addiction,Jen & Berry's Ice Cream,1002,PMax,9064,300
15,Tobacco marketing / industry tactics,Quit for a week and save a day (smoking cessation funding) (GOV.UK),https://www.gov.uk/government/news/quit-for-a-week-and-save-a-day-say-health-experts,Moonbucks Coffee,1003,Shopping,1931,52
16,Alt-right propaganda (analysis),AI Tools and the Alt-Right: A Double-Edged Sword for P/CVE (GNET),https://gnet-research.org/2025/01/28/ai-tools-and-the-alt-right-a-double-edged-sword-for-p-cve/,Moonbucks Coffee,1003,Shopping,2374,229
17,Alt-right propaganda (analysis),GNET – Global Network on Extremism and Technology (home),https://gnet-research.org/,Jet3 Holidays,1001,Paid Social,9066,182
18,Alt-right propaganda (analysis),Extremist disinformation networks and narratives during crises (GNET analysis via DISA),https://disa.org/extremist-disinformation-networks-and-narratives-during-crises-a-gnet-analysis/,Moonbucks Coffee,1003,Display,7787,343
