placement_id,url,company_name,account_id,channel_type,clicks,invalid_clicks,safety_decision,safety_confidence,risk_categories,matched_signals,safety_rationale
1,https://www.who.int/news/item/17-10-2025-world-no-tobacco-day-2026--unmasking-the-appeal---countering-nicotine-and-tobacco-addiction,Plush Cosmetics,1004,Display,1539,2,unsafe,medium,tobacco_or_nicotine,url:tobacco->tobacco_or_nicotine,Unsafe for Plush Cosmetics: detected tobacco_or_nicotine from raw URL evidence. Signals: url:tobacco->tobacco_or_nicotine.
2,https://www.gov.uk/government/news/quit-for-a-week-and-save-a-day-say-health-experts,Moonbucks Coffee,1003,Shopping,4385,322,review,medium,politics,url:government->politics,Review for Moonbucks Coffee: detected politics from raw URL evidence. Signals: url:government->politics.
3,https://www.ucl.ac.uk/news/headlines/2025/dec/want-quit-smoking-2026-heres-all-help-you-need,Jen & Berry's Ice Cream,1002,Paid Social,9447,425,unsafe,medium,tobacco_or_nicotine,url:smoking->tobacco_or_nicotine,Unsafe for Jen & Berry's Ice Cream: detected tobacco_or_nicotine from raw URL evidence. Signals: url:smoking->tobacco_or_nicotine.
4,https://tobaccocontrol.bmj.com/content/tobaccocontrol/early/2025/07/23/tc-2025-059469.full.pdf,Jet3 Holidays,1001,Paid Social,2409,135,review,medium,tobacco_or_nicotine,url:tobacco->tobacco_or_nicotine,Review for Jet3 Holidays: detected tobacco_or_nicotine from raw URL evidence. Signals: url:tobacco->tobacco_or_nicotine.
5,https://www.bmj.com/content/392/bmj.r2625,Moonbucks Coffee,1003,Paid Social,8661,495,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Moonbucks Coffee: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
6,https://www.gov.uk/government/news/10-year-study-to-shed-light-on-youth-vaping,Moonbucks Coffee,1003,Display,5901,331,review,medium,politics;tobacco_or_nicotine,url:vaping->tobacco_or_nicotine;url:government->politics,"Review for Moonbucks Coffee: detected politics, tobacco_or_nicotine from raw URL evidence. Signals: url:vaping->tobacco_or_nicotine; url:government->politics."
7,https://ash.org.uk/resources/view/use-of-e-cigarettes-among-young-people-in-great-britain,Plush Cosmetics,1004,Paid Social,2682,200,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Plush Cosmetics: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
8,https://truthinitiative.org/press/press-release/truth-initiative-report-finds-rapidly-evolving-nicotine-market-outpacing,Moonbucks Coffee,1003,Shopping,1479,122,review,medium,click_quality;tobacco_or_nicotine,url:nicotine->tobacco_or_nicotine;invalid_click_rate:8.2%->click_quality,"Review for Moonbucks Coffee: detected click_quality, tobacco_or_nicotine from raw URL evidence. Signals: url:nicotine->tobacco_or_nicotine; invalid_click_rate:8.2%->click_quality."
9,https://www.eppingforestdc.gov.uk/epping-forest-youth-council-publishes-report-on-youth-vaping/,Moonbucks Coffee,1003,Paid Social,2374,75,review,medium,tobacco_or_nicotine,url:vaping->tobacco_or_nicotine,Review for Moonbucks Coffee: detected tobacco_or_nicotine from raw URL evidence. Signals: url:vaping->tobacco_or_nicotine.
10,https://www.who.int/publications/i/item/9789240094642,Jen & Berry's Ice Cream,1002,Display,6737,599,review,medium,click_quality,invalid_click_rate:8.9%->click_quality,Review for Jen & Berry's Ice Cream: detected click_quality from raw URL evidence. Signals: invalid_click_rate:8.9%->click_quality.
11,https://www.tobaccotactics.org/article/tobacco-industry-targeting-young-people/,Moonbucks Coffee,1003,Display,4320,143,review,medium,tobacco_or_nicotine,url:tobacco->tobacco_or_nicotine,Review for Moonbucks Coffee: detected tobacco_or_nicotine from raw URL evidence. Signals: url:tobacco->tobacco_or_nicotine.
12,https://worldmetrics.org/marketing-in-the-tobacco-industry-statistics/,Jen & Berry's Ice Cream,1002,Shopping,1109,109,unsafe,medium,click_quality;tobacco_or_nicotine,url:tobacco->tobacco_or_nicotine;invalid_click_rate:9.8%->click_quality,"Unsafe for Jen & Berry's Ice Cream: detected click_quality, tobacco_or_nicotine from raw URL evidence. Signals: url:tobacco->tobacco_or_nicotine; invalid_click_rate:9.8%->click_quality."
13,https://yactmovement.org/wp-content/uploads/2025/09/Tobacco-industry-Youth-Desk-Research-RK-002.pdf,Plush Cosmetics,1004,PMax,1595,29,unsafe,medium,tobacco_or_nicotine,url:tobacco->tobacco_or_nicotine,Unsafe for Plush Cosmetics: detected tobacco_or_nicotine from raw URL evidence. Signals: url:tobacco->tobacco_or_nicotine.
14,https://www.who.int/news/item/17-10-2025-world-no-tobacco-day-2026--unmasking-the-appeal---countering-nicotine-and-tobacco-addiction,Jen & Berry's Ice Cream,1002,PMax,9064,300,unsafe,medium,tobacco_or_nicotine,url:tobacco->tobacco_or_nicotine,Unsafe for Jen & Berry's Ice Cream: detected tobacco_or_nicotine from raw URL evidence. Signals: url:tobacco->tobacco_or_nicotine.
15,https://www.gov.uk/government/news/quit-for-a-week-and-save-a-day-say-health-experts,Moonbucks Coffee,1003,Shopping,1931,52,review,medium,politics,url:government->politics,Review for Moonbucks Coffee: detected politics from raw URL evidence. Signals: url:government->politics.
16,https://gnet-research.org/2025/01/28/ai-tools-and-the-alt-right-a-double-edged-sword-for-p-cve/,Moonbucks Coffee,1003,Shopping,2374,229,unsafe,medium,click_quality;hate_or_alt_right,url:alt right->hate_or_alt_right;invalid_click_rate:9.6%->click_quality,"Unsafe for Moonbucks Coffee: detected click_quality, hate_or_alt_right from raw URL evidence. Signals: url:alt right->hate_or_alt_right; invalid_click_rate:9.6%->click_quality."
17,https://gnet-research.org/,Jet3 Holidays,1001,Paid Social,9066,182,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Jet3 Holidays: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
18,https://disa.org/extremist-disinformation-networks-and-narratives-during-crises-a-gnet-analysis/,Moonbucks Coffee,1003,Display,7787,343,unsafe,medium,extremism;propaganda_or_disinformation,url:extremist->extremism;url:disinformation->propaganda_or_disinformation,"Unsafe for Moonbucks Coffee: detected extremism, propaganda_or_disinformation from raw URL evidence. Signals: url:extremist->extremism; url:disinformation->propaganda_or_disinformation."
19,https://www.rsis.edu.sg/ctta-newsarticle/global-far-right-extremist-exploitation-of-artificial-intelligence-and-alt-tech-the-cases-of-the-uk-us-australia-and-new-zealand/,Jen & Berry's Ice Cream,1002,PMax,2709,224,unsafe,medium,click_quality;extremism,url:extremist->extremism;invalid_click_rate:8.3%->click_quality,"Unsafe for Jen & Berry's Ice Cream: detected click_quality, extremism from raw URL evidence. Signals: url:extremist->extremism; invalid_click_rate:8.3%->click_quality."
20,https://www.frontiersin.org/journals/political-science/articles/10.3389/fpos.2025.1718396/full,Plush Cosmetics,1004,Display,1022,91,review,medium,click_quality,invalid_click_rate:8.9%->click_quality,Review for Plush Cosmetics: detected click_quality from raw URL evidence. Signals: invalid_click_rate:8.9%->click_quality.
21,https://academic.oup.com/pnasnexus/article/4/4/pgaf083/8097936,Plush Cosmetics,1004,Paid Social,8715,127,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Plush Cosmetics: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
22,https://www.rand.org/pubs/research_briefs/RBA3450-2.html,Moonbucks Coffee,1003,Display,2936,66,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Moonbucks Coffee: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
23,https://www.jstor.org/stable/48778662,Jet3 Holidays,1001,Paid Social,3461,308,review,medium,click_quality,invalid_click_rate:8.9%->click_quality,Review for Jet3 Holidays: detected click_quality from raw URL evidence. Signals: invalid_click_rate:8.9%->click_quality.
24,https://www.rusi.org/explore-our-research/publications/reports-papers-and-briefings,Plush Cosmetics,1004,Shopping,2658,10,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Plush Cosmetics: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
25,https://disa.org/extremist-disinformation-networks-and-narratives-during-crises-a-gnet-analysis/,Jet3 Holidays,1001,PMax,6918,217,unsafe,medium,extremism;propaganda_or_disinformation,url:extremist->extremism;url:disinformation->propaganda_or_disinformation,"Unsafe for Jet3 Holidays: detected extremism, propaganda_or_disinformation from raw URL evidence. Signals: url:extremist->extremism; url:disinformation->propaganda_or_disinformation."
26,https://www.gov.uk/government/publications/asylum-and-returns-policy-statement/restoring-order-and-control-a-statement-on-the-governments-asylum-and-returns-policy,Moonbucks Coffee,1003,Paid Social,1335,75,review,medium,immigration;politics,url:policy->politics;url:asylum->immigration,"Review for Moonbucks Coffee: detected immigration, politics from raw URL evidence. Signals: url:policy->politics; url:asylum->immigration."
27,https://committees.parliament.uk/work/9508/an-analysis-of-the-asylum-system/,Jen & Berry's Ice Cream,1002,Search,2661,81,review,medium,immigration,url:asylum->immigration,Review for Jen & Berry's Ice Cream: detected immigration from raw URL evidence. Signals: url:asylum->immigration.
28,https://www.nao.org.uk/wp-content/uploads/2025/12/an-analysis-of-the-asylum-system-summary.pdf,Moonbucks Coffee,1003,PMax,4511,136,review,medium,immigration,url:asylum->immigration,Review for Moonbucks Coffee: detected immigration from raw URL evidence. Signals: url:asylum->immigration.
29,https://www.theguardian.com/world/2026/mar/02/shabana-mahmood-refugee-status-change-may-undermine-legal-obligations-law-society,Jet3 Holidays,1001,Shopping,9363,526,review,medium,immigration,url:refugee->immigration,Review for Jet3 Holidays: detected immigration from raw URL evidence. Signals: url:refugee->immigration.
30,https://www.theguardian.com/uk-news/2026/mar/03/skilled-workers-settled-status-in-uk-snatched-away,Jen & Berry's Ice Cream,1002,Display,9101,481,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Jen & Berry's Ice Cream: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
31,https://www.hilldickinson.com/our-view/articles/immigration-spotlight-2026/,Jet3 Holidays,1001,Shopping,3812,172,review,medium,immigration,url:immigration->immigration,Review for Jet3 Holidays: detected immigration from raw URL evidence. Signals: url:immigration->immigration.
32,https://assets.publishing.service.gov.uk/media/691ae05b493305b49ce6e845/Restoring_Order_and_Control_-_A_statement_on_the_Government_s_asylum_and_returns_policy_final.pdf,Jet3 Holidays,1001,Paid Social,9334,475,review,medium,immigration;politics,url:policy->politics;url:asylum->immigration,"Review for Jet3 Holidays: detected immigration, politics from raw URL evidence. Signals: url:policy->politics; url:asylum->immigration."
33,https://axis.lawyer/ilr-uk-news-key-immigration-changes-for-2026/,Jet3 Holidays,1001,Paid Social,8647,362,review,medium,immigration,url:immigration->immigration,Review for Jet3 Holidays: detected immigration from raw URL evidence. Signals: url:immigration->immigration.
34,https://www.thetimes.com/uk/politics/article/kemi-badenoch-integration-equality-law-2l3thbkr6,Plush Cosmetics,1004,Search,2026,138,review,medium,politics,url:politics->politics,Review for Plush Cosmetics: detected politics from raw URL evidence. Signals: url:politics->politics.
35,https://www.theguardian.com/uk-news/2026/mar/03/skilled-workers-settled-status-in-uk-snatched-away,Plush Cosmetics,1004,Display,6164,5,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Plush Cosmetics: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
36,https://www.brookings.edu/articles/what-will-2026-bring-for-us-migration-policy/,Jen & Berry's Ice Cream,1002,Search,5085,436,review,medium,click_quality;politics,url:policy->politics;invalid_click_rate:8.6%->click_quality,"Review for Jen & Berry's Ice Cream: detected click_quality, politics from raw URL evidence. Signals: url:policy->politics; invalid_click_rate:8.6%->click_quality."
37,https://www.pewresearch.org/politics/2026/01/29/how-americans-view-key-trump-administration-immigration-policies/,Plush Cosmetics,1004,PMax,6321,424,review,medium,immigration;politics,url:politics->politics;url:immigration->immigration,"Review for Plush Cosmetics: detected immigration, politics from raw URL evidence. Signals: url:politics->politics; url:immigration->immigration."
38,https://www.chron.com/news/article/austin-shooting-chip-roy-21951254.php,Jen & Berry's Ice Cream,1002,Search,9805,16,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Jen & Berry's Ice Cream: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
39,https://cis.org/,Jet3 Holidays,1001,Shopping,2437,196,review,medium,click_quality,invalid_click_rate:8.0%->click_quality,Review for Jet3 Holidays: detected click_quality from raw URL evidence. Signals: invalid_click_rate:8.0%->click_quality.
40,https://www.brookings.edu/articles/what-will-2026-bring-for-us-migration-policy/,Jet3 Holidays,1001,PMax,5985,447,review,medium,politics,url:policy->politics,Review for Jet3 Holidays: detected politics from raw URL evidence. Signals: url:policy->politics.
41,https://www.ntsb.gov/investigations/AccidentReports/Pages/Reports.aspx,Jen & Berry's Ice Cream,1002,Search,4821,172,review,medium,aviation_incident,url:investigation->aviation_incident,Review for Jen & Berry's Ice Cream: detected aviation_incident from raw URL evidence. Signals: url:investigation->aviation_incident.
42,https://www.ntsb.gov/Pages/AviationQueryv2.aspx,Plush Cosmetics,1004,PMax,6323,261,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Plush Cosmetics: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
43,https://www.gov.uk/aaib-reports,Jet3 Holidays,1001,Paid Social,3340,302,review,medium,click_quality,invalid_click_rate:9.0%->click_quality,Review for Jet3 Holidays: detected click_quality from raw URL evidence. Signals: invalid_click_rate:9.0%->click_quality.
44,https://www.gov.uk/government/publications/aaib-current-field-investigations/air-accidents-investigation-branch-current-field-investigations,Moonbucks Coffee,1003,Paid Social,4459,285,review,medium,aviation_incident;politics,url:investigation->aviation_incident;url:government->politics,"Review for Moonbucks Coffee: detected aviation_incident, politics from raw URL evidence. Signals: url:investigation->aviation_incident; url:government->politics."
45,https://aaib.gov.in/,Moonbucks Coffee,1003,Display,4613,213,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Moonbucks Coffee: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
46,https://aviation-safety.net/,Plush Cosmetics,1004,Display,7994,360,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Plush Cosmetics: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
47,https://aviation-safety.net/investigation/,Jen & Berry's Ice Cream,1002,Paid Social,4518,405,review,medium,aviation_incident;click_quality,url:investigation->aviation_incident;invalid_click_rate:9.0%->click_quality,"Review for Jen & Berry's Ice Cream: detected aviation_incident, click_quality from raw URL evidence. Signals: url:investigation->aviation_incident; invalid_click_rate:9.0%->click_quality."
48,https://www.gov.uk/government/organisations/air-accidents-investigation-branch,Moonbucks Coffee,1003,Search,1218,89,review,medium,aviation_incident;politics,url:investigation->aviation_incident;url:government->politics,"Review for Moonbucks Coffee: detected aviation_incident, politics from raw URL evidence. Signals: url:investigation->aviation_incident; url:government->politics."
49,https://assets.publishing.service.gov.uk/media/695e2ec58ab0677c14afdfac/AAIB_Bulletin_1-2026.pdf,Jet3 Holidays,1001,PMax,5909,1,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Jet3 Holidays: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
50,https://www.ntsb.gov/investigations/Pages/DCA25MA108.aspx,Jet3 Holidays,1001,Paid Social,8196,2,unsafe,medium,aviation_incident,url:investigation->aviation_incident,Unsafe for Jet3 Holidays: detected aviation_incident from raw URL evidence. Signals: url:investigation->aviation_incident.
51,https://www.thesun.ie/travel/16589097/ryanair-flight-cork-avoids-crash-plane-spain/,Moonbucks Coffee,1003,PMax,8082,344,review,medium,aviation_incident,url:crash->aviation_incident,Review for Moonbucks Coffee: detected aviation_incident from raw URL evidence. Signals: url:crash->aviation_incident.
52,https://www.newindianexpress.com/nation/2026/Feb/27/aaib-misses-one-month-deadline-for-releasing-baramati-air-crash-preliminary-report,Jet3 Holidays,1001,Paid Social,1458,3,unsafe,medium,aviation_incident,url:air crash->aviation_incident,Unsafe for Jet3 Holidays: detected aviation_incident from raw URL evidence. Signals: url:air crash->aviation_incident.
53,https://timesofindia.indiatimes.com/india/preliminary-report-into-baramati-crash-out-low-visibility-operational-gaps-cited/articleshow/128886790.cms,Jen & Berry's Ice Cream,1002,Shopping,4549,145,review,medium,aviation_incident,url:crash->aviation_incident,Review for Jen & Berry's Ice Cream: detected aviation_incident from raw URL evidence. Signals: url:crash->aviation_incident.
54,https://apnews.com/article/fa0fc75d46823eb2dd39f815de2d021f,Plush Cosmetics,1004,Shopping,7409,142,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Plush Cosmetics: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
55,https://www.gov.uk/aaib-reports,Plush Cosmetics,1004,Display,5996,392,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Plush Cosmetics: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
56,https://www.topendsports.com/events/calendar-2026.htm,Moonbucks Coffee,1003,Shopping,5741,392,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Moonbucks Coffee: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
57,https://content.sport-social.co.uk/blog/2026-sporting-calendar-major-sports-events,Plush Cosmetics,1004,Search,5955,363,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Plush Cosmetics: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
58,https://www.sportscoverdirect.com/scd-blog/sports-events-calendar-2026/,Jet3 Holidays,1001,Shopping,5558,175,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Jet3 Holidays: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
59,https://www.visitbritain.org/news-and-media/destination-news-and-inspiration/looking-ahead-britains-sporting-highlights-2026,Plush Cosmetics,1004,Search,9446,180,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Plush Cosmetics: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
60,https://www.espn.com/pll/story/_/id/48033101/2026-pll-wll-championship-series-lacrosse-sixes-top-players-teams-schedule,Jet3 Holidays,1001,PMax,8627,4,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Jet3 Holidays: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
61,https://www.gaslampball.com/san-diego-padres-news/54107/world-baseball-classic-is-here,Moonbucks Coffee,1003,Search,6609,470,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Moonbucks Coffee: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
62,https://timesofindia.indiatimes.com/sports/mlb/news/team-usa-sets-its-best-starting-pitchers-with-cy-young-winners-leading-the-way-for-world-baseball-classic-opener/articleshow/128957698.cms,Jen & Berry's Ice Cream,1002,PMax,7432,515,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Jen & Berry's Ice Cream: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
63,https://www.barcablaugranes.com/barcelona-copa-del-rey/114048/barcelona-atletico-madrid-copa-del-rey-team-news-preview-lineups-score-prediction,Jen & Berry's Ice Cream,1002,Display,1734,79,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Jen & Berry's Ice Cream: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
