placement_id,topic,title,url,company_name,account_id,channel_type,clicks,invalid_clicks,llm_safety_decision,llm_safety_confidence,llm_risk_categories,llm_safety_rationale,llm_missing_evidence,llm_raw_response
1,Tabagism / quitting smoking,World No Tobacco Day 2026: Unmasking the appeal – countering nicotine and tobacco addiction (WHO),https://www.who.int/news/item/17-10-2025-world-no-tobacco-day-2026--unmasking-the-appeal---countering-nicotine-and-tobacco-addiction,Plush Cosmetics,1004,Display,1539,2,unsafe,high,tobacco_or_nicotine,"The placement URL and title indicate content directly related to tobacco and nicotine addiction, which matches the hard unsafe category tobacco_or_nicotine in Plush Cosmetics policy, making the placement unsafe.",,"{""confidence"": ""high"", ""decision"": ""unsafe"", ""missing_evidence"": [], ""rationale"": ""The placement URL and title indicate content directly related to tobacco and nicotine addiction, which matches the hard unsafe category tobacco_or_nicotine in Plush Cosmetics policy, making the placement unsafe."", ""risk_categories"": [""tobacco_or_nicotine""]}"
2,Tabagism / quitting smoking,"Quit for a week and save a day, say health experts (GOV.UK)",https://www.gov.uk/government/news/quit-for-a-week-and-save-a-day-say-health-experts,Moonbucks Coffee,1003,Shopping,4385,322,review,high,tobacco_or_nicotine,"The placement is about quitting smoking, which relates directly to tobacco or nicotine topics. The advertiser tolerates neutral news and general-interest content but tobacco or nicotine is a review category, hence this placement should be reviewed to ensure it aligns with advertiser preferences.",,"{""confidence"": ""high"", ""decision"": ""review"", ""missing_evidence"": [], ""rationale"": ""The placement is about quitting smoking, which relates directly to tobacco or nicotine topics. The advertiser tolerates neutral news and general-interest content but tobacco or nicotine is a review category, hence this placement should be reviewed to ensure it aligns with advertiser preferences."", ""risk_categories"": [""tobacco_or_nicotine""]}"
3,Tabagism / quitting smoking,Want to quit smoking in 2026? Here's all the help you need (UCL),https://www.ucl.ac.uk/news/headlines/2025/dec/want-quit-smoking-2026-heres-all-help-you-need,Jen & Berry's Ice Cream,1002,Paid Social,9447,425,review,high,tobacco_or_nicotine,"The placement is about quitting smoking, which involves tobacco/nicotine content. Although the topic may be positive (help to quit smoking), tobacco/nicotine-related content is a hard unsafe category for this family-friendly food brand. Due to the context being about quitting, this is a sensitive category warranting review rather than automatic unsafe decision.",,"{""confidence"": ""high"", ""decision"": ""review"", ""missing_evidence"": [], ""rationale"": ""The placement is about quitting smoking, which involves tobacco/nicotine content. Although the topic may be positive (help to quit smoking), tobacco/nicotine-related content is a hard unsafe category for this family-friendly food brand. Due to the context being about quitting, this is a sensitive category warranting review rather than automatic unsafe decision."", ""risk_categories"": [""tobacco_or_nicotine""]}"
4,Tabagism / quitting smoking,The end of smoking in England? The importance of considering different metrics of success (BMJ Tobacco Control PDF),https://tobaccocontrol.bmj.com/content/tobaccocontrol/early/2025/07/23/tc-2025-059469.full.pdf,Jet3 Holidays,1001,Paid Social,2409,135,review,high,tobacco_or_nicotine,"The placement content is about smoking cessation and related metrics, falling under tobacco or nicotine topics, which is a review category for Jet3 Holidays due to sensitivity concerns. There is no evidence of aviation incidents, war, or other hard unsafe categories, but the tobacco topic necessitates review.",,"{""confidence"": ""high"", ""decision"": ""review"", ""missing_evidence"": [], ""rationale"": ""The placement content is about smoking cessation and related metrics, falling under tobacco or nicotine topics, which is a review category for Jet3 Holidays due to sensitivity concerns. There is no evidence of aviation incidents, war, or other hard unsafe categories, but the tobacco topic necessitates review."", ""risk_categories"": [""tobacco_or_nicotine""]}"
5,Tabagism / quitting smoking,Signs of increased smoking and vaping among young people in UK (BMJ),https://www.bmj.com/content/392/bmj.r2625,Moonbucks Coffee,1003,Paid Social,8661,495,review,high,tobacco_or_nicotine,"The placement is about smoking and vaping, which falls under the tobacco_or_nicotine category marked for review by the advertiser. Although the content is informational and neutral, the advertiser's policy requires review for such topics.",,"{""confidence"": ""high"", ""decision"": ""review"", ""missing_evidence"": [], ""rationale"": ""The placement is about smoking and vaping, which falls under the tobacco_or_nicotine category marked for review by the advertiser. Although the content is informational and neutral, the advertiser's policy requires review for such topics."", ""risk_categories"": [""tobacco_or_nicotine""]}"
6,Youth vaping / nicotine,10-year study to shed light on youth vaping (GOV.UK),https://www.gov.uk/government/news/10-year-study-to-shed-light-on-youth-vaping,Moonbucks Coffee,1003,Display,5901,331,review,high,tobacco_or_nicotine;click_quality,"The placement is about youth vaping, which falls under the tobacco_or_nicotine review category for Moonbucks Coffee. Additionally, there is a significant number of invalid clicks (331 out of 5901), indicating potential quality concerns. Since the advertiser can tolerate neutral news but vaping is a sensitive topic, this placement should be reviewed.",,"{""confidence"": ""high"", ""decision"": ""review"", ""missing_evidence"": [], ""rationale"": ""The placement is about youth vaping, which falls under the tobacco_or_nicotine review category for Moonbucks Coffee. Additionally, there is a significant number of invalid clicks (331 out of 5901), indicating potential quality concerns. Since the advertiser can tolerate neutral news but vaping is a sensitive topic, this placement should be reviewed."", ""risk_categories"": [""tobacco_or_nicotine"", ""click_quality""]}"
7,Youth vaping / nicotine,Use of vapes (e-cigarettes) among young people in Great Britain (ASH),https://ash.org.uk/resources/view/use-of-e-cigarettes-among-young-people-in-great-britain,Plush Cosmetics,1004,Paid Social,2682,200,unsafe,high,tobacco_or_nicotine,"The placement is about e-cigarettes (vapes) use among young people, which directly relates to tobacco or nicotine products. Plush Cosmetics' policy identifies tobacco or nicotine content as a hard unsafe category, making this placement unsafe for the advertiser.",,"{""confidence"": ""high"", ""decision"": ""unsafe"", ""missing_evidence"": [], ""rationale"": ""The placement is about e-cigarettes (vapes) use among young people, which directly relates to tobacco or nicotine products. Plush Cosmetics' policy identifies tobacco or nicotine content as a hard unsafe category, making this placement unsafe for the advertiser."", ""risk_categories"": [""tobacco_or_nicotine""]}"
8,Youth vaping / nicotine,Truth Initiative report finds rapidly evolving nicotine market outpacing regulation (press release),https://truthinitiative.org/press/press-release/truth-initiative-report-finds-rapidly-evolving-nicotine-market-outpacing,Moonbucks Coffee,1003,Shopping,1479,122,review,high,tobacco_or_nicotine,"The placement discusses youth vaping and nicotine, which falls under tobacco_or_nicotine, a review category for this advertiser. There is no evidence of hard unsafe categories, but the topic directly relates to a sensitive area requiring review according to advertiser policy.",,"{""confidence"": ""high"", ""decision"": ""review"", ""missing_evidence"": [], ""rationale"": ""The placement discusses youth vaping and nicotine, which falls under tobacco_or_nicotine, a review category for this advertiser. There is no evidence of hard unsafe categories, but the topic directly relates to a sensitive area requiring review according to advertiser policy."", ""risk_categories"": [""tobacco_or_nicotine""]}"
9,Youth vaping / nicotine,Epping Forest Youth Council publishes report on youth vaping,https://www.eppingforestdc.gov.uk/epping-forest-youth-council-publishes-report-on-youth-vaping/,Moonbucks Coffee,1003,Paid Social,2374,75,review,high,tobacco_or_nicotine;click_quality,"The placement discusses youth vaping, which falls under the 'tobacco_or_nicotine' review category per the advertiser's policy. Additionally, there is a moderate number of invalid clicks (75 out of 2374), indicating some engagement quality concerns. The content is not in the hard unsafe categories but requires review due to policy sensitivity around tobacco-related topics and click quality.",,"{""confidence"": ""high"", ""decision"": ""review"", ""missing_evidence"": [], ""rationale"": ""The placement discusses youth vaping, which falls under the 'tobacco_or_nicotine' review category per the advertiser's policy. Additionally, there is a moderate number of invalid clicks (75 out of 2374), indicating some engagement quality concerns. The content is not in the hard unsafe categories but requires review due to policy sensitivity around tobacco-related topics and click quality."", ""risk_categories"": [""tobacco_or_nicotine"", ""click_quality""]}"
10,Youth vaping / nicotine,Tobacco industry report: Hooking the next generation (WHO publication page),https://www.who.int/publications/i/item/9789240094642,Jen & Berry's Ice Cream,1002,Display,6737,599,unsafe,high,tobacco_or_nicotine,"The placement URL and topic clearly involve tobacco industry and youth nicotine use (vaping), which falls under the advertiser's hard unsafe category 'tobacco_or_nicotine' and conflicts with the family-friendly food brand policy sensitive to tobacco or nicotine content.",,"{""confidence"": ""high"", ""decision"": ""unsafe"", ""missing_evidence"": [], ""rationale"": ""The placement URL and topic clearly involve tobacco industry and youth nicotine use (vaping), which falls under the advertiser's hard unsafe category 'tobacco_or_nicotine' and conflicts with the family-friendly food brand policy sensitive to tobacco or nicotine content."", ""risk_categories"": [""tobacco_or_nicotine""]}"
