placement_id,company_name,topic,url,safety_decision,safety_confidence,risk_categories,matched_signals,safety_rationale,llm_safety_decision,llm_safety_confidence,llm_risk_categories,llm_safety_rationale,decision_match,rules_signal_explanations
1,Plush Cosmetics,Tabagism / quitting smoking,https://www.who.int/news/item/17-10-2025-world-no-tobacco-day-2026--unmasking-the-appeal---countering-nicotine-and-tobacco-addiction,unsafe,high,tobacco_or_nicotine,topic:smoking->tobacco_or_nicotine,Unsafe for Plush Cosmetics: detected tobacco_or_nicotine from enriched title/topic evidence. Signals: topic:smoking->tobacco_or_nicotine.,unsafe,high,tobacco_or_nicotine,"The placement URL and title indicate content directly related to tobacco and nicotine addiction, which matches the hard unsafe category tobacco_or_nicotine in Plush Cosmetics policy, making the placement unsafe.",True,"matched ""smoking"" in topic, triggering tobacco_or_nicotine"
2,Moonbucks Coffee,Tabagism / quitting smoking,https://www.gov.uk/government/news/quit-for-a-week-and-save-a-day-say-health-experts,review,high,politics;tobacco_or_nicotine,topic:smoking->tobacco_or_nicotine;url:government->politics,"Review for Moonbucks Coffee: detected politics, tobacco_or_nicotine from enriched title/topic evidence. Signals: topic:smoking->tobacco_or_nicotine; url:government->politics.",review,high,tobacco_or_nicotine,"The placement is about quitting smoking, which relates directly to tobacco or nicotine topics. The advertiser tolerates neutral news and general-interest content but tobacco or nicotine is a review category, hence this placement should be reviewed to ensure it aligns with advertiser preferences.",True,"matched ""smoking"" in topic, triggering tobacco_or_nicotine; matched ""government"" in url, triggering politics"
3,Jen & Berry's Ice Cream,Tabagism / quitting smoking,https://www.ucl.ac.uk/news/headlines/2025/dec/want-quit-smoking-2026-heres-all-help-you-need,unsafe,high,tobacco_or_nicotine,topic:smoking->tobacco_or_nicotine,Unsafe for Jen & Berry's Ice Cream: detected tobacco_or_nicotine from enriched title/topic evidence. Signals: topic:smoking->tobacco_or_nicotine.,review,high,tobacco_or_nicotine,"The placement is about quitting smoking, which involves tobacco/nicotine content. Although the topic may be positive (help to quit smoking), tobacco/nicotine-related content is a hard unsafe category for this family-friendly food brand. Due to the context being about quitting, this is a sensitive category warranting review rather than automatic unsafe decision.",False,"matched ""smoking"" in topic, triggering tobacco_or_nicotine"
4,Jet3 Holidays,Tabagism / quitting smoking,https://tobaccocontrol.bmj.com/content/tobaccocontrol/early/2025/07/23/tc-2025-059469.full.pdf,review,high,tobacco_or_nicotine,topic:smoking->tobacco_or_nicotine,Review for Jet3 Holidays: detected tobacco_or_nicotine from enriched title/topic evidence. Signals: topic:smoking->tobacco_or_nicotine.,review,high,tobacco_or_nicotine,"The placement content is about smoking cessation and related metrics, falling under tobacco or nicotine topics, which is a review category for Jet3 Holidays due to sensitivity concerns. There is no evidence of aviation incidents, war, or other hard unsafe categories, but the tobacco topic necessitates review.",True,"matched ""smoking"" in topic, triggering tobacco_or_nicotine"
5,Moonbucks Coffee,Tabagism / quitting smoking,https://www.bmj.com/content/392/bmj.r2625,review,high,tobacco_or_nicotine,topic:smoking->tobacco_or_nicotine,Review for Moonbucks Coffee: detected tobacco_or_nicotine from enriched title/topic evidence. Signals: topic:smoking->tobacco_or_nicotine.,review,high,tobacco_or_nicotine,"The placement is about smoking and vaping, which falls under the tobacco_or_nicotine category marked for review by the advertiser. Although the content is informational and neutral, the advertiser's policy requires review for such topics.",True,"matched ""smoking"" in topic, triggering tobacco_or_nicotine"
6,Moonbucks Coffee,Youth vaping / nicotine,https://www.gov.uk/government/news/10-year-study-to-shed-light-on-youth-vaping,review,high,politics;tobacco_or_nicotine,topic:nicotine->tobacco_or_nicotine;url:government->politics,"Review for Moonbucks Coffee: detected politics, tobacco_or_nicotine from enriched title/topic evidence. Signals: topic:nicotine->tobacco_or_nicotine; url:government->politics.",review,high,tobacco_or_nicotine;click_quality,"The placement is about youth vaping, which falls under the tobacco_or_nicotine review category for Moonbucks Coffee. Additionally, there is a significant number of invalid clicks (331 out of 5901), indicating potential quality concerns. Since the advertiser can tolerate neutral news but vaping is a sensitive topic, this placement should be reviewed.",True,"matched ""nicotine"" in topic, triggering tobacco_or_nicotine; matched ""government"" in url, triggering politics"
7,Plush Cosmetics,Youth vaping / nicotine,https://ash.org.uk/resources/view/use-of-e-cigarettes-among-young-people-in-great-britain,unsafe,high,tobacco_or_nicotine,topic:nicotine->tobacco_or_nicotine,Unsafe for Plush Cosmetics: detected tobacco_or_nicotine from enriched title/topic evidence. Signals: topic:nicotine->tobacco_or_nicotine.,unsafe,high,tobacco_or_nicotine,"The placement is about e-cigarettes (vapes) use among young people, which directly relates to tobacco or nicotine products. Plush Cosmetics' policy identifies tobacco or nicotine content as a hard unsafe category, making this placement unsafe for the advertiser.",True,"matched ""nicotine"" in topic, triggering tobacco_or_nicotine"
8,Moonbucks Coffee,Youth vaping / nicotine,https://truthinitiative.org/press/press-release/truth-initiative-report-finds-rapidly-evolving-nicotine-market-outpacing,review,high,click_quality;tobacco_or_nicotine,topic:nicotine->tobacco_or_nicotine;invalid_click_rate:8.2%->click_quality,"Review for Moonbucks Coffee: detected click_quality, tobacco_or_nicotine from enriched title/topic evidence. Signals: topic:nicotine->tobacco_or_nicotine; invalid_click_rate:8.2%->click_quality.",review,high,tobacco_or_nicotine,"The placement discusses youth vaping and nicotine, which falls under tobacco_or_nicotine, a review category for this advertiser. There is no evidence of hard unsafe categories, but the topic directly relates to a sensitive area requiring review according to advertiser policy.",True,"matched ""nicotine"" in topic, triggering tobacco_or_nicotine; invalid click rate 8.2% triggered click_quality"
9,Moonbucks Coffee,Youth vaping / nicotine,https://www.eppingforestdc.gov.uk/epping-forest-youth-council-publishes-report-on-youth-vaping/,review,high,tobacco_or_nicotine,topic:nicotine->tobacco_or_nicotine,Review for Moonbucks Coffee: detected tobacco_or_nicotine from enriched title/topic evidence. Signals: topic:nicotine->tobacco_or_nicotine.,review,high,tobacco_or_nicotine;click_quality,"The placement discusses youth vaping, which falls under the 'tobacco_or_nicotine' review category per the advertiser's policy. Additionally, there is a moderate number of invalid clicks (75 out of 2374), indicating some engagement quality concerns. The content is not in the hard unsafe categories but requires review due to policy sensitivity around tobacco-related topics and click quality.",True,"matched ""nicotine"" in topic, triggering tobacco_or_nicotine"
10,Jen & Berry's Ice Cream,Youth vaping / nicotine,https://www.who.int/publications/i/item/9789240094642,unsafe,high,click_quality;tobacco_or_nicotine,topic:nicotine->tobacco_or_nicotine;invalid_click_rate:8.9%->click_quality,"Unsafe for Jen & Berry's Ice Cream: detected click_quality, tobacco_or_nicotine from enriched title/topic evidence. Signals: topic:nicotine->tobacco_or_nicotine; invalid_click_rate:8.9%->click_quality.",unsafe,high,tobacco_or_nicotine,"The placement URL and topic clearly involve tobacco industry and youth nicotine use (vaping), which falls under the advertiser's hard unsafe category 'tobacco_or_nicotine' and conflicts with the family-friendly food brand policy sensitive to tobacco or nicotine content.",True,"matched ""nicotine"" in topic, triggering tobacco_or_nicotine; invalid click rate 8.9% triggered click_quality"
