placement_id,url,company_name,account_id,channel_type,clicks,invalid_clicks
1,https://www.who.int/news/item/17-10-2025-world-no-tobacco-day-2026--unmasking-the-appeal---countering-nicotine-and-tobacco-addiction,Plush Cosmetics,1004,Display,1539,2
2,https://www.gov.uk/government/news/quit-for-a-week-and-save-a-day-say-health-experts,Moonbucks Coffee,1003,Shopping,4385,322
3,https://www.ucl.ac.uk/news/headlines/2025/dec/want-quit-smoking-2026-heres-all-help-you-need,Jen & Berry's Ice Cream,1002,Paid Social,9447,425
4,https://tobaccocontrol.bmj.com/content/tobaccocontrol/early/2025/07/23/tc-2025-059469.full.pdf,Jet3 Holidays,1001,Paid Social,2409,135
5,https://www.bmj.com/content/392/bmj.r2625,Moonbucks Coffee,1003,Paid Social,8661,495
6,https://www.gov.uk/government/news/10-year-study-to-shed-light-on-youth-vaping,Moonbucks Coffee,1003,Display,5901,331
7,https://ash.org.uk/resources/view/use-of-e-cigarettes-among-young-people-in-great-britain,Plush Cosmetics,1004,Paid Social,2682,200
8,https://truthinitiative.org/press/press-release/truth-initiative-report-finds-rapidly-evolving-nicotine-market-outpacing,Moonbucks Coffee,1003,Shopping,1479,122
9,https://www.eppingforestdc.gov.uk/epping-forest-youth-council-publishes-report-on-youth-vaping/,Moonbucks Coffee,1003,Paid Social,2374,75
10,https://www.who.int/publications/i/item/9789240094642,Jen & Berry's Ice Cream,1002,Display,6737,599
11,https://www.tobaccotactics.org/article/tobacco-industry-targeting-young-people/,Moonbucks Coffee,1003,Display,4320,143
12,https://worldmetrics.org/marketing-in-the-tobacco-industry-statistics/,Jen & Berry's Ice Cream,1002,Shopping,1109,109
13,https://yactmovement.org/wp-content/uploads/2025/09/Tobacco-industry-Youth-Desk-Research-RK-002.pdf,Plush Cosmetics,1004,PMax,1595,29
14,https://www.who.int/news/item/17-10-2025-world-no-tobacco-day-2026--unmasking-the-appeal---countering-nicotine-and-tobacco-addiction,Jen & Berry's Ice Cream,1002,PMax,9064,300
15,https://www.gov.uk/government/news/quit-for-a-week-and-save-a-day-say-health-experts,Moonbucks Coffee,1003,Shopping,1931,52
16,https://gnet-research.org/2025/01/28/ai-tools-and-the-alt-right-a-double-edged-sword-for-p-cve/,Moonbucks Coffee,1003,Shopping,2374,229
17,https://gnet-research.org/,Jet3 Holidays,1001,Paid Social,9066,182
18,https://disa.org/extremist-disinformation-networks-and-narratives-during-crises-a-gnet-analysis/,Moonbucks Coffee,1003,Display,7787,343
19,https://www.rsis.edu.sg/ctta-newsarticle/global-far-right-extremist-exploitation-of-artificial-intelligence-and-alt-tech-the-cases-of-the-uk-us-australia-and-new-zealand/,Jen & Berry's Ice Cream,1002,PMax,2709,224
20,https://www.frontiersin.org/journals/political-science/articles/10.3389/fpos.2025.1718396/full,Plush Cosmetics,1004,Display,1022,91
21,https://academic.oup.com/pnasnexus/article/4/4/pgaf083/8097936,Plush Cosmetics,1004,Paid Social,8715,127
22,https://www.rand.org/pubs/research_briefs/RBA3450-2.html,Moonbucks Coffee,1003,Display,2936,66
23,https://www.jstor.org/stable/48778662,Jet3 Holidays,1001,Paid Social,3461,308
24,https://www.rusi.org/explore-our-research/publications/reports-papers-and-briefings,Plush Cosmetics,1004,Shopping,2658,10
25,https://disa.org/extremist-disinformation-networks-and-narratives-during-crises-a-gnet-analysis/,Jet3 Holidays,1001,PMax,6918,217
26,https://www.gov.uk/government/publications/asylum-and-returns-policy-statement/restoring-order-and-control-a-statement-on-the-governments-asylum-and-returns-policy,Moonbucks Coffee,1003,Paid Social,1335,75
27,https://committees.parliament.uk/work/9508/an-analysis-of-the-asylum-system/,Jen & Berry's Ice Cream,1002,Search,2661,81
28,https://www.nao.org.uk/wp-content/uploads/2025/12/an-analysis-of-the-asylum-system-summary.pdf,Moonbucks Coffee,1003,PMax,4511,136
29,https://www.theguardian.com/world/2026/mar/02/shabana-mahmood-refugee-status-change-may-undermine-legal-obligations-law-society,Jet3 Holidays,1001,Shopping,9363,526
30,https://www.theguardian.com/uk-news/2026/mar/03/skilled-workers-settled-status-in-uk-snatched-away,Jen & Berry's Ice Cream,1002,Display,9101,481
31,https://www.hilldickinson.com/our-view/articles/immigration-spotlight-2026/,Jet3 Holidays,1001,Shopping,3812,172
32,https://assets.publishing.service.gov.uk/media/691ae05b493305b49ce6e845/Restoring_Order_and_Control_-_A_statement_on_the_Government_s_asylum_and_returns_policy_final.pdf,Jet3 Holidays,1001,Paid Social,9334,475
33,https://axis.lawyer/ilr-uk-news-key-immigration-changes-for-2026/,Jet3 Holidays,1001,Paid Social,8647,362
34,https://www.thetimes.com/uk/politics/article/kemi-badenoch-integration-equality-law-2l3thbkr6,Plush Cosmetics,1004,Search,2026,138
35,https://www.theguardian.com/uk-news/2026/mar/03/skilled-workers-settled-status-in-uk-snatched-away,Plush Cosmetics,1004,Display,6164,5
36,https://www.brookings.edu/articles/what-will-2026-bring-for-us-migration-policy/,Jen & Berry's Ice Cream,1002,Search,5085,436
37,https://www.pewresearch.org/politics/2026/01/29/how-americans-view-key-trump-administration-immigration-policies/,Plush Cosmetics,1004,PMax,6321,424
38,https://www.chron.com/news/article/austin-shooting-chip-roy-21951254.php,Jen & Berry's Ice Cream,1002,Search,9805,16
