placement_id,topic,title,url,company_name,account_id,channel_type,clicks,invalid_clicks,safety_decision,safety_confidence,risk_categories,matched_signals,safety_rationale
1,Tabagism / quitting smoking,World No Tobacco Day 2026: Unmasking the appeal – countering nicotine and tobacco addiction (WHO),https://www.who.int/news/item/17-10-2025-world-no-tobacco-day-2026--unmasking-the-appeal---countering-nicotine-and-tobacco-addiction,Plush Cosmetics,1004,Display,1539,2,unsafe,high,tobacco_or_nicotine,topic:smoking->tobacco_or_nicotine,Unsafe for Plush Cosmetics: detected tobacco_or_nicotine from enriched title/topic evidence. Signals: topic:smoking->tobacco_or_nicotine.
2,Tabagism / quitting smoking,"Quit for a week and save a day, say health experts (GOV.UK)",https://www.gov.uk/government/news/quit-for-a-week-and-save-a-day-say-health-experts,Moonbucks Coffee,1003,Shopping,4385,322,review,high,politics;tobacco_or_nicotine,topic:smoking->tobacco_or_nicotine;url:government->politics,"Review for Moonbucks Coffee: detected politics, tobacco_or_nicotine from enriched title/topic evidence. Signals: topic:smoking->tobacco_or_nicotine; url:government->politics."
3,Tabagism / quitting smoking,Want to quit smoking in 2026? Here's all the help you need (UCL),https://www.ucl.ac.uk/news/headlines/2025/dec/want-quit-smoking-2026-heres-all-help-you-need,Jen & Berry's Ice Cream,1002,Paid Social,9447,425,unsafe,high,tobacco_or_nicotine,topic:smoking->tobacco_or_nicotine,Unsafe for Jen & Berry's Ice Cream: detected tobacco_or_nicotine from enriched title/topic evidence. Signals: topic:smoking->tobacco_or_nicotine.
4,Tabagism / quitting smoking,The end of smoking in England? The importance of considering different metrics of success (BMJ Tobacco Control PDF),https://tobaccocontrol.bmj.com/content/tobaccocontrol/early/2025/07/23/tc-2025-059469.full.pdf,Jet3 Holidays,1001,Paid Social,2409,135,review,high,tobacco_or_nicotine,topic:smoking->tobacco_or_nicotine,Review for Jet3 Holidays: detected tobacco_or_nicotine from enriched title/topic evidence. Signals: topic:smoking->tobacco_or_nicotine.
5,Tabagism / quitting smoking,Signs of increased smoking and vaping among young people in UK (BMJ),https://www.bmj.com/content/392/bmj.r2625,Moonbucks Coffee,1003,Paid Social,8661,495,review,high,tobacco_or_nicotine,topic:smoking->tobacco_or_nicotine,Review for Moonbucks Coffee: detected tobacco_or_nicotine from enriched title/topic evidence. Signals: topic:smoking->tobacco_or_nicotine.
6,Youth vaping / nicotine,10-year study to shed light on youth vaping (GOV.UK),https://www.gov.uk/government/news/10-year-study-to-shed-light-on-youth-vaping,Moonbucks Coffee,1003,Display,5901,331,review,high,politics;tobacco_or_nicotine,topic:nicotine->tobacco_or_nicotine;url:government->politics,"Review for Moonbucks Coffee: detected politics, tobacco_or_nicotine from enriched title/topic evidence. Signals: topic:nicotine->tobacco_or_nicotine; url:government->politics."
7,Youth vaping / nicotine,Use of vapes (e-cigarettes) among young people in Great Britain (ASH),https://ash.org.uk/resources/view/use-of-e-cigarettes-among-young-people-in-great-britain,Plush Cosmetics,1004,Paid Social,2682,200,unsafe,high,tobacco_or_nicotine,topic:nicotine->tobacco_or_nicotine,Unsafe for Plush Cosmetics: detected tobacco_or_nicotine from enriched title/topic evidence. Signals: topic:nicotine->tobacco_or_nicotine.
8,Youth vaping / nicotine,Truth Initiative report finds rapidly evolving nicotine market outpacing regulation (press release),https://truthinitiative.org/press/press-release/truth-initiative-report-finds-rapidly-evolving-nicotine-market-outpacing,Moonbucks Coffee,1003,Shopping,1479,122,review,high,click_quality;tobacco_or_nicotine,topic:nicotine->tobacco_or_nicotine;invalid_click_rate:8.2%->click_quality,"Review for Moonbucks Coffee: detected click_quality, tobacco_or_nicotine from enriched title/topic evidence. Signals: topic:nicotine->tobacco_or_nicotine; invalid_click_rate:8.2%->click_quality."
9,Youth vaping / nicotine,Epping Forest Youth Council publishes report on youth vaping,https://www.eppingforestdc.gov.uk/epping-forest-youth-council-publishes-report-on-youth-vaping/,Moonbucks Coffee,1003,Paid Social,2374,75,review,high,tobacco_or_nicotine,topic:nicotine->tobacco_or_nicotine,Review for Moonbucks Coffee: detected tobacco_or_nicotine from enriched title/topic evidence. Signals: topic:nicotine->tobacco_or_nicotine.
10,Youth vaping / nicotine,Tobacco industry report: Hooking the next generation (WHO publication page),https://www.who.int/publications/i/item/9789240094642,Jen & Berry's Ice Cream,1002,Display,6737,599,unsafe,high,click_quality;tobacco_or_nicotine,topic:nicotine->tobacco_or_nicotine;invalid_click_rate:8.9%->click_quality,"Unsafe for Jen & Berry's Ice Cream: detected click_quality, tobacco_or_nicotine from enriched title/topic evidence. Signals: topic:nicotine->tobacco_or_nicotine; invalid_click_rate:8.9%->click_quality."
11,Tobacco marketing / industry tactics,Tobacco Industry Targeting Young People (TobaccoTactics),https://www.tobaccotactics.org/article/tobacco-industry-targeting-young-people/,Moonbucks Coffee,1003,Display,4320,143,review,high,tobacco_or_nicotine,topic:tobacco->tobacco_or_nicotine,Review for Moonbucks Coffee: detected tobacco_or_nicotine from enriched title/topic evidence. Signals: topic:tobacco->tobacco_or_nicotine.
12,Tobacco marketing / industry tactics,Marketing in the tobacco industry statistics: Market data report 2026 (WorldMetrics),https://worldmetrics.org/marketing-in-the-tobacco-industry-statistics/,Jen & Berry's Ice Cream,1002,Shopping,1109,109,unsafe,high,click_quality;tobacco_or_nicotine,topic:tobacco->tobacco_or_nicotine;invalid_click_rate:9.8%->click_quality,"Unsafe for Jen & Berry's Ice Cream: detected click_quality, tobacco_or_nicotine from enriched title/topic evidence. Signals: topic:tobacco->tobacco_or_nicotine; invalid_click_rate:9.8%->click_quality."
13,Tobacco marketing / industry tactics,A review on tobacco industry and youth (PDF),https://yactmovement.org/wp-content/uploads/2025/09/Tobacco-industry-Youth-Desk-Research-RK-002.pdf,Plush Cosmetics,1004,PMax,1595,29,unsafe,high,tobacco_or_nicotine,topic:tobacco->tobacco_or_nicotine,Unsafe for Plush Cosmetics: detected tobacco_or_nicotine from enriched title/topic evidence. Signals: topic:tobacco->tobacco_or_nicotine.
14,Tobacco marketing / industry tactics,World No Tobacco Day 2026 theme announcement (WHO),https://www.who.int/news/item/17-10-2025-world-no-tobacco-day-2026--unmasking-the-appeal---countering-nicotine-and-tobacco-addiction,Jen & Berry's Ice Cream,1002,PMax,9064,300,unsafe,high,tobacco_or_nicotine,topic:tobacco->tobacco_or_nicotine,Unsafe for Jen & Berry's Ice Cream: detected tobacco_or_nicotine from enriched title/topic evidence. Signals: topic:tobacco->tobacco_or_nicotine.
15,Tobacco marketing / industry tactics,Quit for a week and save a day (smoking cessation funding) (GOV.UK),https://www.gov.uk/government/news/quit-for-a-week-and-save-a-day-say-health-experts,Moonbucks Coffee,1003,Shopping,1931,52,review,high,politics;tobacco_or_nicotine,topic:tobacco->tobacco_or_nicotine;url:government->politics,"Review for Moonbucks Coffee: detected politics, tobacco_or_nicotine from enriched title/topic evidence. Signals: topic:tobacco->tobacco_or_nicotine; url:government->politics."
16,Alt-right propaganda (analysis),AI Tools and the Alt-Right: A Double-Edged Sword for P/CVE (GNET),https://gnet-research.org/2025/01/28/ai-tools-and-the-alt-right-a-double-edged-sword-for-p-cve/,Moonbucks Coffee,1003,Shopping,2374,229,unsafe,high,click_quality;hate_or_alt_right;propaganda_or_disinformation,topic:alt-right->hate_or_alt_right;topic:propaganda->propaganda_or_disinformation;invalid_click_rate:9.6%->click_quality,"Unsafe for Moonbucks Coffee: detected click_quality, hate_or_alt_right, propaganda_or_disinformation from enriched title/topic evidence. Signals: topic:alt-right->hate_or_alt_right; topic:propaganda->propaganda_or_disinformation; invalid_click_rate:9.6%->click_quality."
17,Alt-right propaganda (analysis),GNET – Global Network on Extremism and Technology (home),https://gnet-research.org/,Jet3 Holidays,1001,Paid Social,9066,182,unsafe,high,extremism;hate_or_alt_right;propaganda_or_disinformation,title:extremism->extremism;topic:alt-right->hate_or_alt_right;topic:propaganda->propaganda_or_disinformation,"Unsafe for Jet3 Holidays: detected extremism, hate_or_alt_right, propaganda_or_disinformation from enriched title/topic evidence. Signals: title:extremism->extremism; topic:alt-right->hate_or_alt_right; topic:propaganda->propaganda_or_disinformation."
18,Alt-right propaganda (analysis),Extremist disinformation networks and narratives during crises (GNET analysis via DISA),https://disa.org/extremist-disinformation-networks-and-narratives-during-crises-a-gnet-analysis/,Moonbucks Coffee,1003,Display,7787,343,unsafe,high,extremism;hate_or_alt_right;propaganda_or_disinformation,title:extremist->extremism;topic:alt-right->hate_or_alt_right;topic:propaganda->propaganda_or_disinformation,"Unsafe for Moonbucks Coffee: detected extremism, hate_or_alt_right, propaganda_or_disinformation from enriched title/topic evidence. Signals: title:extremist->extremism; topic:alt-right->hate_or_alt_right; topic:propaganda->propaganda_or_disinformation."
19,Alt-right propaganda (analysis),Global far-right extremist exploitation of AI and alt-tech (RSIS),https://www.rsis.edu.sg/ctta-newsarticle/global-far-right-extremist-exploitation-of-artificial-intelligence-and-alt-tech-the-cases-of-the-uk-us-australia-and-new-zealand/,Jen & Berry's Ice Cream,1002,PMax,2709,224,unsafe,high,click_quality;extremism;hate_or_alt_right;propaganda_or_disinformation,title:extremist->extremism;topic:alt-right->hate_or_alt_right;topic:propaganda->propaganda_or_disinformation;invalid_click_rate:8.3%->click_quality,"Unsafe for Jen & Berry's Ice Cream: detected click_quality, extremism, hate_or_alt_right, propaganda_or_disinformation from enriched title/topic evidence. Signals: title:extremist->extremism; topic:alt-right->hate_or_alt_right; topic:propaganda->propaganda_or_disinformation; invalid_click_rate:8.3%->click_quality."
20,Alt-right propaganda (analysis),"The role of artificial intelligence in radicalisation, recruitment and terrorist propaganda (Frontiers)",https://www.frontiersin.org/journals/political-science/articles/10.3389/fpos.2025.1718396/full,Plush Cosmetics,1004,Display,1022,91,unsafe,high,click_quality;extremism;hate_or_alt_right;propaganda_or_disinformation;war_or_conflict,title:terror->war_or_conflict;title:radicalisation->extremism;topic:alt-right->hate_or_alt_right;topic:propaganda->propaganda_or_disinformation;invalid_click_rate:8.9%->click_quality,"Unsafe for Plush Cosmetics: detected click_quality, extremism, hate_or_alt_right, propaganda_or_disinformation, war_or_conflict from enriched title/topic evidence. Signals: title:terror->war_or_conflict; title:radicalisation->extremism; topic:alt-right->hate_or_alt_right; topic:propaganda->propaganda_or_disinformation; invalid_click_rate:8.9%->click_quality."
21,Propaganda & disinformation (research),Generative propaganda: Evidence of AI’s impact from a state-backed disinformation campaign (PNAS Nexus),https://academic.oup.com/pnasnexus/article/4/4/pgaf083/8097936,Plush Cosmetics,1004,Paid Social,8715,127,unsafe,high,hate_or_alt_right;propaganda_or_disinformation,topic:propaganda->hate_or_alt_right;topic:propaganda->propaganda_or_disinformation,"Unsafe for Plush Cosmetics: detected hate_or_alt_right, propaganda_or_disinformation from enriched title/topic evidence. Signals: topic:propaganda->hate_or_alt_right; topic:propaganda->propaganda_or_disinformation."
22,Propaganda & disinformation (research),Measuring the reach of Russia’s propaganda in the Russia-Ukraine war (RAND),https://www.rand.org/pubs/research_briefs/RBA3450-2.html,Moonbucks Coffee,1003,Display,2936,66,unsafe,high,hate_or_alt_right;propaganda_or_disinformation;war_or_conflict,title:war->war_or_conflict;topic:propaganda->hate_or_alt_right;topic:propaganda->propaganda_or_disinformation,"Unsafe for Moonbucks Coffee: detected hate_or_alt_right, propaganda_or_disinformation, war_or_conflict from enriched title/topic evidence. Signals: title:war->war_or_conflict; topic:propaganda->hate_or_alt_right; topic:propaganda->propaganda_or_disinformation."
23,Propaganda & disinformation (research),Global Far-Right Extremist Exploitation of Artificial Intelligence and Alt-Tech (JSTOR record),https://www.jstor.org/stable/48778662,Jet3 Holidays,1001,Paid Social,3461,308,unsafe,high,click_quality;extremism;hate_or_alt_right;propaganda_or_disinformation,title:extremist->extremism;topic:propaganda->hate_or_alt_right;topic:propaganda->propaganda_or_disinformation;invalid_click_rate:8.9%->click_quality,"Unsafe for Jet3 Holidays: detected click_quality, extremism, hate_or_alt_right, propaganda_or_disinformation from enriched title/topic evidence. Signals: title:extremist->extremism; topic:propaganda->hate_or_alt_right; topic:propaganda->propaganda_or_disinformation; invalid_click_rate:8.9%->click_quality."
